subset,period_split,group_type,group_field,group_value,variant,window,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,all,low_base_growth,esp_raw_gt_200,False,t1_net,5,329,318,0.7262201625287291,0.5261442537543616,8.10959676814735,0.25576220992894916,0.052207242484376574,53.144654088050316
all,all,low_base_growth,esp_raw_gt_200,True,t1_net,5,31,31,-0.9261861505069382,-1.4691641490432847,7.180363011307109,-1.0985492320686727,-0.2746373080171682,41.935483870967744
all,all,low_base_growth,esp_raw_gt_200,False,t1_net,10,329,318,0.7022189655215969,0.5015347292203255,9.657975321030918,0.23381778130044686,0.04772785474798042,51.886792452830186
all,all,low_base_growth,esp_raw_gt_200,True,t1_net,10,31,31,0.8970885290709699,0.2707250538406304,10.223470066388446,-0.022082445841383698,-0.0055206114603459245,58.06451612903226
all,all,low_base_growth,esp_raw_gt_200,False,t1_net,20,329,318,2.3901180795109993,-0.2535837550278984,12.937775248309325,1.2352567011345539,0.2521457182611063,49.37106918238994
all,all,low_base_growth,esp_raw_gt_200,True,t1_net,20,31,31,-2.3740158144029153,-1.904186046511631,9.24201950829734,-1.74664003382346,-0.436660008455865,41.935483870967744
all,discovery,rank,rank_bucket,top_1_5,t1_net,5,60,55,0.2897469156550293,-0.5599000249937379,7.179007117113241,0.19854510224674635,0.05986360073774605,47.27272727272727
all,discovery,rank,rank_bucket,top_6_10,t1_net,5,60,58,-1.207202524448418,-0.8329283314669764,7.627770830743645,-1.0433018336784416,-0.3011752972601392,43.103448275862064
all,discovery,rank,rank_bucket,top_11_15,t1_net,5,60,56,-0.44487669052383305,-0.1101814928596466,7.9335203440539,-0.6183787397013206,-0.17851056591384948,48.214285714285715
all,discovery,rank,rank_bucket,top_1_5,t1_net,10,60,55,-0.04654413544571712,0.006666666666670512,7.721604724044704,-0.033326524376220315,-0.010048325174777802,50.90909090909091
all,discovery,rank,rank_bucket,top_6_10,t1_net,10,60,58,-1.5390633773517421,-2.7077485820117997,11.357909096115645,-0.8242855965822394,-0.23795075553794362,43.103448275862064
all,discovery,rank,rank_bucket,top_11_15,t1_net,10,60,56,-0.25025724344526634,-0.3969668246445578,10.345892141005914,-0.3937405976142591,-0.11366312001173831,48.214285714285715
all,discovery,rank,rank_bucket,top_1_5,t1_net,20,60,55,1.7814220747224145,-1.203956043956029,11.994695280971793,0.7011529643208888,0.21140557302707594,41.81818181818181
all,discovery,rank,rank_bucket,top_6_10,t1_net,20,60,58,-0.881543517839833,-3.576370544181735,14.10151230915418,-0.4527580787418501,-0.13069999931969248,34.48275862068966
all,discovery,rank,rank_bucket,top_11_15,t1_net,20,60,56,1.7265097292632754,-0.07401829681750838,12.872980370187873,0.5526451226896818,0.15953490517561075,50.0
all,discovery,tier,tier_group,Tier1,t1_net,5,131,131,-0.3867197661638526,-0.6100000000000171,6.8530280749681625,0.22048781862258943,0.06647957865591501,44.274809160305345
all,discovery,tier,tier_group,Tier2,t1_net,5,49,38,-0.7456439831276741,0.6634018529904907,9.747367830015255,-0.35595704868839384,-0.1591888315874902,52.63157894736842
