strategy_variant,subset,period_split,trade_date,window,variant,holding_count,return_pct,win_rate_pct
no_lock,all,all,20250127,20,t1_net,15,6.503669330506915,66.66666666666666
no_lock,all,all,20250228,20,t1_net,15,-0.07792305989174769,33.33333333333333
no_lock,all,all,20250331,20,t1_net,15,-1.3708753959610358,33.33333333333333
no_lock,all,all,20250430,20,t1_net,15,6.739636936374197,80.0
no_lock,all,all,20250530,20,t1_net,15,8.620170441878997,80.0
no_lock,all,all,20250630,20,t1_net,15,8.575276181946043,73.33333333333333
no_lock,all,all,20250731,20,t1_net,15,9.956503379588973,86.66666666666667
no_lock,all,all,20250829,20,t1_net,15,-3.9347048839902485,20.0
no_lock,all,all,20250930,20,t1_net,15,-3.0249560801453614,40.0
no_lock,all,all,20251031,20,t1_net,15,-3.1923419162624196,33.33333333333333
no_lock,all,all,20251128,20,t1_net,15,1.7945859831646696,46.666666666666664
no_lock,all,all,20251231,20,t1_net,15,5.606280691073789,66.66666666666666
no_lock,all,all,20240131,20,excess_csi300,15,-1.2501133297348908,26.666666666666668
no_lock,all,all,20240229,20,excess_csi300,15,6.71228139640574,53.333333333333336
no_lock,all,all,20240329,20,excess_csi300,15,-3.905591013561158,20.0
no_lock,all,all,20240430,20,excess_csi300,15,-1.9777207228362264,20.0
no_lock,all,all,20240531,20,excess_csi300,15,1.694223563122883,60.0
no_lock,all,all,20240628,20,excess_csi300,15,0.002682019002144583,46.666666666666664
no_lock,all,all,20240731,20,excess_csi300,15,-4.203382219296712,20.0
no_lock,all,all,20240830,20,excess_csi300,15,-7.888424241286753,20.0
no_lock,all,all,20240930,20,excess_csi300,4,-4.271182504774012,25.0
no_lock,all,all,20241031,20,excess_csi300,14,6.404155653059367,57.14285714285714
no_lock,all,all,20241129,20,excess_csi300,15,-3.5620352305696974,33.33333333333333
no_lock,all,all,20241231,20,excess_csi300,15,-6.479242316739656,33.33333333333333
no_lock,all,all,20250127,20,excess_csi300,15,4.288597237256196,53.333333333333336
no_lock,all,all,20250228,20,excess_csi300,15,-0.6043723295254961,33.33333333333333
no_lock,all,all,20250331,20,excess_csi300,15,1.6856408101782407,40.0
no_lock,all,all,20250430,20,excess_csi300,15,5.758247516631861,73.33333333333333
no_lock,all,all,20250530,20,excess_csi300,15,6.597768499123211,80.0
no_lock,all,all,20250630,20,excess_csi300,15,3.838652951834781,60.0
no_lock,all,all,20250731,20,excess_csi300,15,0.03362793758982434,46.666666666666664
no_lock,all,all,20250829,20,excess_csi300,15,-4.3569171300375125,20.0
no_lock,all,all,20250930,20,excess_csi300,15,-1.1190103476847535,40.0
no_lock,all,all,20251031,20,excess_csi300,15,-0.308717819074881,33.33333333333333
no_lock,all,all,20251128,20,excess_csi300,15,0.1900354730527188,46.666666666666664
no_lock,all,all,20251231,20,excess_csi300,15,6.008040224657806,66.66666666666666
no_lock,all,all,20240131,20,excess_csi1000,15,-3.1910075385522685,26.666666666666668
no_lock,all,all,20240229,20,excess_csi1000,15,6.601049364732547,53.333333333333336
no_lock,all,all,20240329,20,excess_csi1000,15,-2.55374636755544,40.0
no_lock,all,all,20240430,20,excess_csi1000,15,0.37914713206917106,60.0
no_lock,all,all,20240531,20,excess_csi1000,15,5.1299033919032295,66.66666666666666
no_lock,all,all,20240628,20,excess_csi1000,15,2.8430167179564725,66.66666666666666
no_lock,all,all,20240731,20,excess_csi1000,15,0.27182795363898243,33.33333333333333
no_lock,all,all,20240830,20,excess_csi1000,15,-14.366913463452955,6.666666666666667
no_lock,all,all,20240930,20,excess_csi1000,4,-9.185781135243115,0.0
no_lock,all,all,20241031,20,excess_csi1000,14,3.326948118715337,50.0
no_lock,all,all,20241129,20,excess_csi1000,15,-0.4662094755598576,40.0
no_lock,all,all,20241231,20,excess_csi1000,15,-10.113823136396608,20.0
no_lock,all,all,20250127,20,excess_csi1000,15,-1.4328406276213363,26.666666666666668
no_lock,all,all,20250228,20,excess_csi1000,15,0.16733007081569345,33.33333333333333
no_lock,all,all,20250331,20,excess_csi1000,15,4.478133656191159,60.0
no_lock,all,all,20250430,20,excess_csi1000,15,7.438482090566809,86.66666666666667
no_lock,all,all,20250530,20,excess_csi1000,15,4.066121591302018,46.666666666666664
no_lock,all,all,20250630,20,excess_csi1000,15,3.146570951559473,60.0
no_lock,all,all,20250731,20,excess_csi1000,15,-1.5264223384111906,40.0
no_lock,all,all,20250829,20,excess_csi1000,15,-2.394130925733755,33.33333333333333
no_lock,all,all,20250930,20,excess_csi1000,15,-0.46971749109961664,40.0
no_lock,all,all,20251031,20,excess_csi1000,15,-0.32731520521791935,33.33333333333333
no_lock,all,all,20251128,20,excess_csi1000,15,-1.008162740345275,20.0
no_lock,all,all,20251231,20,excess_csi1000,15,-0.6947465623786897,46.666666666666664
no_lock,all,all,20240131,20,excess_eligible,15,0.15167459110172643,33.33333333333333
no_lock,all,all,20240229,20,excess_eligible,15,5.063835976365978,53.333333333333336
no_lock,all,all,20240329,20,excess_eligible,15,-0.6520269445734538,53.333333333333336
no_lock,all,all,20240430,20,excess_eligible,15,-3.4574659776142616,20.0
no_lock,all,all,20240531,20,excess_eligible,15,2.883856261741741,66.66666666666666
no_lock,all,all,20240628,20,excess_eligible,15,0.30472788858767513,53.333333333333336
no_lock,all,all,20240731,20,excess_eligible,15,1.4496494521763252,53.333333333333336
no_lock,all,all,20240830,20,excess_eligible,15,-3.0904502584012543,33.33333333333333
no_lock,all,all,20240930,20,excess_eligible,4,-2.597332782801013,25.0
no_lock,all,all,20241031,20,excess_eligible,14,8.45173961672695,64.28571428571429
no_lock,all,all,20241129,20,excess_eligible,15,0.5983361654206152,40.0
no_lock,all,all,20241231,20,excess_eligible,15,-9.464091548759567,20.0
no_lock,all,all,20250127,20,excess_eligible,15,1.3555829402653836,33.33333333333333
no_lock,all,all,20250228,20,excess_eligible,15,1.1592507994897712,46.666666666666664
