strategy_variant,subset,period_split,window,variant,period_count,mean_period_return_pct,median_period_return_pct,compounded_return_pct,max_drawdown_pct,worst_period_return_pct,best_period_return_pct,win_rate_pct,std_pct,monthly_t,sharpe_monthly
baseline,all,discovery,20,close,12,1.0097824695339643,-2.170761865634651,9.072210870783227,-16.65565332455322,-7.932248499142919,22.08488064319156,33.33333333333333,8.173607515943395,0.4279614695013478,0.12354183480969548
baseline,all,discovery,20,t1,12,0.39645725020783423,-2.3469649083547997,0.5198045748933344,-17.924370875582873,-10.51659927573286,22.466303506950542,33.33333333333333,9.059182363973918,0.15159957550248354,0.04376302786269594
baseline,all,discovery,20,t1_net,12,0.23645725020783415,-2.5069649083547993,-1.3988056720149356,-18.605373742889107,-10.67659927573286,22.306303506950535,33.33333333333333,9.059182363973916,0.0904178665851117,0.026101389806232958
baseline,all,discovery,20,excess_csi300,12,-1.4712287868396146,-2.5896498612383216,-17.257399912974115,-21.48038647820276,-7.888424241286753,6.71228139640574,33.33333333333333,4.557774666886557,-1.1181961350032488,-0.32279541977546244
baseline,all,discovery,20,excess_csi1000,12,-1.6879987443842426,-0.09719076096043758,-20.39808062687095,-27.26261122366096,-14.366913463452955,6.601049364732547,50.0,6.371514136735842,-0.9177409091911091,-0.2649289804839094
baseline,all,discovery,20,excess_eligible,12,0.0593379954254214,0.22820123984470078,-0.40510576539714016,-9.464091548759567,-9.464091548759567,8.45173961672695,58.333333333333336,4.489959959234149,0.04578055208922176,0.013215707036180933
baseline,all,validation,5,close,12,1.9928169701222451,2.434009249728674,25.353211854581104,-9.54042738766111,-9.540427387661113,8.23407428489379,83.33333333333334,4.433512636054512,1.5570769842257233,0.449489407995846
baseline,all,validation,5,t1,12,1.7223388985818733,2.3395725494876816,21.403292354454774,-9.587170460484817,-9.587170460484826,7.015711688309592,83.33333333333334,4.452174776712382,1.3400994479371684,0.3868533885036965
baseline,all,validation,5,t1_net,12,1.5623388985818731,2.1795725494876814,19.12732237555057,-9.747170460484833,-9.747170460484824,6.855711688309591,83.33333333333334,4.452174776712382,1.2156083202929566,0.3509158954751436
baseline,all,validation,5,excess_csi300,12,1.66272136252546,1.5331171022956724,21.482581192105997,-3.7380974470461625,-3.4929227308403283,4.9533840552148085,75.0,2.4768624736606646,2.32545642670898,0.6713014469745874
baseline,all,validation,5,excess_csi1000,12,1.579535181235663,1.7263050232628308,20.58223544892579,-0.47649129817425306,-0.4764912981742544,3.6833127237310754,83.33333333333334,1.300183551353467,4.208383013913273,1.2148555329679385
baseline,all,validation,5,excess_eligible,12,0.8929198798006833,0.3792668118863315,11.139414943239956,-1.2606867839231706,-0.8850133020948135,3.307821467655192,66.66666666666666,1.4045381196414424,2.2022650396956087,0.6357391567475807
baseline,all,validation,10,close,12,2.4094203618218417,3.5143768804099214,32.119510049123726,-4.820909683031527,-4.820909683031528,6.503748033560149,83.33333333333334,3.652022848087955,2.2854394164874123,0.6597495311627944
