strategy_variant,subset,period_split,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
no_lock,tier1_only,all,20250530,5,close,15,15,4.913562001567727,4.5395590142671916,7.059267806871982,80.0
no_lock,tier1_only,all,20250530,5,t1,15,15,5.734915617904917,4.947916666666674,7.489385169404748,80.0
no_lock,tier1_only,all,20250530,5,t1_net,15,15,5.574915617904917,4.787916666666674,7.489385169404748,80.0
no_lock,tier1_only,all,20250530,5,excess_csi300,15,15,4.872166645140635,4.085167693902392,7.489385169404748,73.33333333333333
no_lock,tier1_only,all,20250530,5,excess_csi1000,15,15,3.281439553311688,2.4944406020734444,7.489385169404748,66.66666666666666
no_lock,tier1_only,all,20250530,5,excess_eligible,15,15,3.063642263478307,2.2766433122400636,7.489385169404749,66.66666666666666
no_lock,tier1_only,all,20250530,10,close,15,15,5.220897402641232,4.357798165137594,9.779305491154346,73.33333333333333
no_lock,tier1_only,all,20250530,10,t1,15,15,6.02206161227845,4.8387096774193505,9.902630438267918,80.0
no_lock,tier1_only,all,20250530,10,t1_net,15,15,5.86206161227845,4.67870967741935,9.902630438267918,80.0
no_lock,tier1_only,all,20250530,10,excess_csi300,15,15,5.456580610619243,4.273228675760143,9.902630438267918,80.0
no_lock,tier1_only,all,20250530,10,excess_csi1000,15,15,4.7465635790540075,3.563211644194908,9.902630438267918,80.0
no_lock,tier1_only,all,20250530,10,excess_eligible,15,15,3.848670487337595,2.665318552478495,9.902630438267918,60.0
no_lock,tier1_only,all,20250530,20,close,15,15,7.929889600622656,4.126984126984112,12.236770729119542,80.0
no_lock,tier1_only,all,20250530,20,t1,15,15,8.780170441878996,4.697156983930806,12.627313744423843,80.0
no_lock,tier1_only,all,20250530,20,t1_net,15,15,8.620170441878997,4.537156983930806,12.627313744423844,80.0
no_lock,tier1_only,all,20250530,20,excess_csi300,15,15,6.597768499123211,2.514755041175021,12.627313744423843,80.0
no_lock,tier1_only,all,20250530,20,excess_csi1000,15,15,4.066121591302018,-0.016891866646173703,12.627313744423843,46.666666666666664
no_lock,tier1_only,all,20250530,20,excess_eligible,15,15,5.283238952597114,1.2002254946489237,12.627313744423843,73.33333333333333
no_lock,tier1_only,all,20250630,5,close,15,15,1.3389070827340497,0.5698005698005604,4.858706192512277,53.333333333333336
no_lock,tier1_only,all,20250630,5,t1,15,15,1.3983080302896822,0.0,5.14772029713395,46.666666666666664
no_lock,tier1_only,all,20250630,5,t1_net,15,15,1.238308030289682,-0.16,5.14772029713395,46.666666666666664
no_lock,tier1_only,all,20250630,5,excess_csi300,15,15,0.8298588061163866,-0.5684492241732952,5.14772029713395,46.666666666666664
no_lock,tier1_only,all,20250630,5,excess_csi1000,15,15,2.129883147733154,0.7315751174434726,5.14772029713395,66.66666666666666
no_lock,tier1_only,all,20250630,5,excess_eligible,15,15,1.346323239376388,-0.05198479091329361,5.14772029713395,46.666666666666664
no_lock,tier1_only,all,20250630,10,close,15,15,2.7037688611633905,2.4346257889990897,7.504794023835788,60.0
no_lock,tier1_only,all,20250630,10,t1,15,15,2.7642855525493757,2.25022502250225,7.7194770027600565,60.0
no_lock,tier1_only,all,20250630,10,t1_net,15,15,2.604285552549375,2.09022502250225,7.719477002760056,60.0
no_lock,tier1_only,all,20250630,10,excess_csi300,15,15,0.864454926201644,0.3503943961545186,7.719477002760055,53.333333333333336
no_lock,tier1_only,all,20250630,10,excess_csi1000,15,15,1.375198259301683,0.8611377292545574,7.7194770027600565,53.333333333333336
no_lock,tier1_only,all,20250630,10,excess_eligible,15,15,1.078826639521594,0.5647661094744691,7.719477002760055,53.333333333333336
no_lock,tier1_only,all,20250630,20,close,15,15,8.649281174628616,6.620689655172418,15.945533045868492,66.66666666666666
