subset,period_split,window,variant,sample_count,available_count,pending_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,validation,5,close,180,180,0,1.9928169701222456,1.352020630615658,8.616902227691762,1.557076984225723,0.4494894079958459,61.111111111111114
all,validation,5,t1,180,180,0,1.7223388985818733,0.9718427661574602,8.35253315185537,1.3400994479371684,0.3868533885036965,58.333333333333336
all,validation,5,t1_net,180,180,0,1.562338898581873,0.8118427661574602,8.35253315185537,1.2156083202929566,0.3509158954751436,57.77777777777777
all,validation,5,excess_csi300,180,180,0,1.6627213625254604,0.5462845911336833,7.559648809561745,2.32545642670898,0.6713014469745874,51.11111111111111
all,validation,5,excess_csi1000,180,180,0,1.5795351812356633,0.5665093216048911,7.2836477173276055,4.208383013913273,1.2148555329679385,53.888888888888886
all,validation,5,excess_eligible,180,180,0,0.8929198798006832,-0.3964621083629576,7.3014860616575294,2.2022650396956083,0.6357391567475807,47.77777777777778
all,validation,10,close,180,180,0,2.4094203618218417,1.3669026655774297,9.499732535717568,2.2854394164874123,0.6597495311627943,56.666666666666664
all,validation,10,t1,180,180,0,2.1430854689217687,1.4160497379920645,9.328656527977124,1.8798850324530272,0.5426760647661518,57.77777777777777
all,validation,10,t1_net,180,180,0,1.9830854689217685,1.2560497379920645,9.328656527977124,1.7395352379374522,0.502160568944014,57.22222222222222
all,validation,10,excess_csi300,180,180,0,1.5259699082094573,0.5528375523154105,8.883118080078953,2.028187083254996,0.5854871792420969,53.333333333333336
all,validation,10,excess_csi1000,180,180,0,1.2395412721351013,0.21900743221717756,8.738613667776239,2.1388223040865944,0.6174248165065854,50.55555555555556
all,validation,10,excess_eligible,180,180,0,0.555207677155942,-0.37771710119265567,8.664871108453571,1.1841144195551876,0.34182438944075255,46.666666666666664
all,validation,20,close,180,180,0,3.449237182295518,1.821209372577648,12.537797583426938,2.3793020755052208,0.6868453468881873,55.55555555555556
all,validation,20,t1,180,180,0,3.1762768006902307,1.5618177103410402,12.366158699125771,2.117947299021117,0.6113987216096414,55.55555555555556
all,validation,20,t1_net,180,180,0,3.016276800690231,1.4018177103410403,12.366158699125773,2.0112590003911808,0.580600462642953,55.00000000000001
all,validation,20,excess_csi300,180,180,0,1.834299418666833,-0.13696570589994406,11.784014004490064,1.8547146176550624,0.5354099918865421,49.44444444444444
