trade_date,horizon_days,benchmark,sample_count,mean_gross_return_pct,mean_net_return_pct,mean_benchmark_return_pct,mean_gross_excess_pct,mean_net_excess_pct,mean_uncorrected_close_to_close_benchmark_pct,mean_uncorrected_gross_excess_pct,mean_anchor_only_delta_pct
20240830,20,CSI300,15,22.466303507,22.306303507,28.67847652,-6.212173013,-6.372173013,30.3547277482,-7.8884242413,1.6762512283
20241031,20,CSI300,8,9.2549160089,9.0949160089,-0.2551837072,9.5100997161,9.3500997161,-0.4490927721,9.704008781,-0.1939090649
20241129,20,CSI300,12,-3.4443471096,-3.6043471096,1.824379034,-5.2687261436,-5.4287261436,0.8460439068,-4.2903910164,-0.9783351272
20241231,20,CSI300,3,-1.1881916757,-1.3481916757,-2.2631809656,1.0749892899,0.91498929,0.5872743218,-1.7754659975,2.8504552874
20250127,20,CSI300,15,6.6636693305,6.5036693305,1.0539444458,5.6097248847,5.4497248847,2.3750720933,4.2885972373,1.3211276474
20250228,20,CSI300,15,0.0820769401,-0.0779230599,0.3966975684,-0.3146206283,-0.4746206283,0.6864492696,-0.6043723295,0.2897517012
20250331,20,CSI300,15,-1.210875396,-1.370875396,-3.0236159799,1.8127405839,1.6527405839,-2.8965162061,1.6856408102,0.1270997737
20250430,20,CSI300,15,6.8996369364,6.7396369364,1.5190114147,5.3806255217,5.2206255217,1.1413894197,5.7582475166,-0.377621995
20250530,20,CSI300,15,8.7801704419,8.6201704419,2.6769743999,6.1031960419,5.9431960419,2.1824019428,6.5977684991,-0.4945724572
20250630,20,CSI300,15,8.7352761819,8.5752761819,5.0792958107,3.6559803712,3.4959803712,4.8966232301,3.8386529518,-0.1826725806
20250731,20,CSI300,15,10.1165033796,9.9565033796,9.6772437156,0.439259664,0.279259664,10.082875442,0.0336279376,0.4056317264
20250829,20,CSI300,15,-3.774704884,-3.934704884,0.7343566698,-4.5090615538,-4.6690615538,0.582212246,-4.35691713,-0.1521444237
20250930,20,CSI300,15,-2.8649560801,-3.0249560801,-0.7476502126,-2.1173058675,-2.2773058675,-1.7459457325,-1.1190103477,-0.9982955198
20251031,20,CSI300,9,-5.5024303852,-5.6624303852,-2.3738851605,-3.1285452247,-3.2885452247,-2.7236240972,-2.778806288,-0.3497389367
20251128,20,CSI300,15,1.9545859832,1.7945859832,2.6007362507,-0.6461502675,-0.8061502675,1.7645505101,0.1900354731,-0.8361857406
20251231,20,CSI300,15,5.7662806911,5.6062806911,0.9594119293,4.8068687618,4.6468687618,-0.2417595336,6.0080402247,-1.2011714628
